Industry,Event,Date,Industry_Return,Market_Return,Expected_Return,Abnormal_Return
Retail_and_Consumer_Goods,Donald Trump Reelection,11/07/2024,0.0180109628779976,0.0092289307851682,0.0108997479195519,0.007111214958445701
Retail_and_Consumer_Goods,Donald Trump Reelection,11/08/2024,-0.0174358325907493,-0.0056940983831543,-0.0061002759992147,-0.0113355565915346
Retail_and_Consumer_Goods,Donald Trump Reelection,11/11/2024,0.0,0.0100204994400372,0.0118014875003257,-0.0118014875003257
Retail_and_Consumer_Goods,Donald Trump Reelection,11/13/2024,-0.0088727796501053,-0.0033582451304776,-0.0034393175089287,-0.0054334621411766
Retail_and_Consumer_Goods,Donald Trump Reelection,11/14/2024,0.0500263485255401,0.0080357562565294,0.0095405067562913,0.040485841769248805
Retail_and_Consumer_Goods,Donald Trump Reelection,11/15/2024,-0.0511534280085577,-0.002251211828612,-0.0021782067519696,-0.0489752212565881
Retail_and_Consumer_Goods,Donald Trump Reelection,11/18/2024,-0.0806024985063927,-0.0039654640076481,-0.0041310494166661,-0.0764714490897266
Retail_and_Consumer_Goods,Donald Trump Reelection,11/19/2024,-0.0054613766734492,0.0015787490381802,0.0021848100061572,-0.0076461866796064
Retail_and_Consumer_Goods,Donald Trump Reelection,11/20/2024,-0.0459537606452383,-0.0089486200836395,-0.0098077636767056,-0.0361459969685327
Retail_and_Consumer_Goods,Donald Trump Reelection,11/21/2024,0.0437192510489947,0.0051914370761474,0.0063003137932069,0.0374189372557878
Retail_and_Consumer_Goods,Donald Trump Reelection,11/22/2024,0.0215338872948931,0.0113906615597876,0.0133623494771815,0.008171537817711601
Retail_and_Consumer_Goods,Donald Trump Reelection,11/25/2024,0.0115506790095278,0.0081432325251025,0.0096629416263055,0.0018877373832222998
Retail_and_Consumer_Goods,Donald Trump Reelection,11/26/2024,-0.0159862283216725,-0.0087039830596701,-0.009529077947958,-0.006457150373714499
Retail_and_Consumer_Goods,Donald Trump Reelection,11/27/2024,-0.0005802500723762,0.0015995367657963,0.0022084909802212,-0.0027887410525974
