Industry,Average_30Day_Industry_Return,Average_30Day_Market_Return
Transportation_and_Infrastructure,0.0005311986308866918,0.00022270545264009234
Agriculture_and_Food,0.00047493625062018977,0.00021453226043423876
Automotive,0.0005927245218335226,0.00018550556900390682
Defense_and_Aerospace,0.0008536464400534158,0.00020503696933922837
Energy_and_Utilities,0.0003999973340876685,0.00017001982715724126
Finance_and_Insurance,0.0004053755116584908,0.00015748758594863848
Healthcare_and_Pharmaceuticals,0.0005108186666933791,0.00019197620703928899
Manufacturing_and_Industrial_Goods,0.0007214604098984176,0.00019145973538102468
Real_Estate_and_Construction,0.0004946776699633875,0.00017136721953911544
Retail_and_Consumer_Goods,0.0005308906187015913,0.0001621730739166524
Technology_and_Telecommunications,0.0006945323334638134,0.00017109910965941783
